,Title,Summary,Published On
51,'The genie is out of the bottle and AI is going to create a skills gap': Workday CEO,"Artificial intelligence is going to create a skills gap in the workforce, and employers need to focus on retraining, warned Workday co-founder and CEO Aneel Bhusri, speaking with CNBC&#039;s Squawk Box at the World Economic Forum in Davos on Thursday.",2019-01-24 13:42:00Z
52,The Fed may be moving closer to ending its rally-killing balance sheet reduction,Wall Street has worried that the operation is adding to pressure in markets that has already built during a series of interest rate hikes that began in 2015.,2019-01-25 12:24:00Z
53,Five financial heavyweights weigh in on whether next recession is nearing,"As the markets rally off of the ugly end to 2018, some of the most influential names in global business are exchanging ideas and sharing their concerns at the World Economic Forum.",2019-01-25 15:20:00Z
54,"CEOs step up help for government workers, raise pressure on Washington to end impasse","Companies are stepping up their relief efforts for the 800,000 federal workers who have just marked the second missed paycheck as Washington&#039;s shutdown stalemate drags on.",2019-01-25 16:55:00Z
55,"The shutdown cost the economy $11 billion � including a permanent $3 billion loss, government says","Overall, the CBO projected economic growth will slow this year to 2.3 percent, compared to the 3.1 percent rate last year, as the benefits of the new tax law begin to fade.",2019-01-28 15:00:00Z
56,US auto sales are expected to drop in January,"U.S. auto sales in January are expected to fall about 1 percent compared to 2018, partly due to uncertainty around government shutdown causing some customers to delay purchases, according to industry consultants J.D. Power and LMC Automotive.",2019-01-29 14:28:00Z
57,"Consumer confidence hits 120.2 in January, vs estimate of 124.9",U.S. consumer confidence was expected to fall to 124.9 in January from the 128.1 reading for the previous month.,2019-01-29 15:00:00Z
58,Bond King Jeffrey Gundlach says we just got 'the most recessionary signal' yet,"While confidence in the broader confidence index remains strong, the Expectations Index tumbled from 97.7 to 87.3 from December.",2019-01-29 20:18:00Z
59,"US and China face deep trade, IP differences in today's high-level talks",The United States and China launch a critical round of trade talks on Wednesday amid deep differences over Washington&#039;s demands for structural economic reforms from Beijing.,2019-01-30 11:48:00Z
60,"Private companies add 213,000 jobs in January, easily topping expectations: ADP/Moody's Analytics","Private payrolls grew at a much faster pace than expected in January as the labor market shrugged off the longest U.S. government shutdown in history, according to data released Wednesday by ADP and Moody&#039;s Analytics.",2019-01-30 13:15:00Z
61,"December pending home sales drop to lowest point in five years, despite much lower interest rates","House hunters signed 2.2 percent fewer contracts to buy existing homes in December, according to the National Association of Realtors. These so-called pending sales are a future indicator of closings in one to two months.",2019-01-30 15:00:00Z
62,Watch the Context Summits' global economics panel,"The panel, which will be moderated by Allianz Chief Economic Advisor Mohammed El-Erian, will discuss emerging trends and debate the key issues impacting the global economy.",2019-01-30 15:12:00Z
63,"China and US discussing possible Trump-Xi meeting in late February, just before trade deal deadline","U.S. and Chinese officials are discussing a potential meeting between Presidents Donald Trump and Xi Jinping to take place in late February, two sources tell CNBC.",2019-01-31 13:15:00Z
64,DoubleLine CEO Gundlach says Fed's Powell is 'caving to the stock market',"Fragile equity markets forced Fed Chair Jerome Powell to pledge that the U.S. central bank will be patient with future interest rate hikes, said DoubleLine CEO Jeffrey Gundlach.",2019-01-31 11:40:00Z
65,Time is running out for the US-China trade talks � but American firms still have big questions,"Despite U.S. Treasury Secretary Steven Mnuchin expressing optimism that &quot;significant progress&quot; can be achieved in this week&#039;s trade talks with China, American companies say key issues continue to linger.",2019-01-31 06:47:00Z
66,"Weekly jobless claims total 253,000, vs 215,000 claims expected","First-time claims for state unemployment benefits were expected to total 215,000 for the most recent week, up from the 199,000 claims reported for the previous week.",2019-01-31 13:32:00Z
67,Worker wage gains just broke 3% for the first time in more than 10 years,The Employment Cost Index showed a 3.1 percent gain in the wages and salaries component in the fourth quarter of 2018.,2019-01-31 15:32:00Z
68,Trump considering former presidential hopeful Herman Cain for the Fed,"Former presidential candidate and Godfather&#039;s Pizza CEO Herman Cain is under consideration for a Federal Reserve appointment, CNBC has confirmed.",2019-01-31 17:06:00Z
69,"US created 304,000 jobs in January, vs 170,000 expected","U.S. nonfarm payrolls likely increased by 170,000 in January, while the unemployment rate was expected to hold steady at 3.9 percent, according to economists surveyed by Dow Jones.",2019-02-01 13:30:00Z
70,Fed's James Bullard says he's pleased with rates at these levels and it's time to wait and see,"Bullard, a voting member on the Fed&#039;s policymaking committee this year, says it&#039;s time wait and see how the economy develops before taking any more action on the cost of borrowing money.",2019-02-01 13:50:00Z
71,Here's where the jobs are � in one chart,CNBC studied the net changes by industry for January jobs based on the data from the Labor Department.,2019-02-01 14:16:00Z
72,White House advisor Larry Kudlow says taxing rich people never works: 'Look at Venezuela',Trump advisor Kudlow suggested Democratic plans to buoy taxes on the wealthiest Americans could cause troubles akin to those in Venezuela.,2019-02-01 15:11:00Z
73,"Stocks making the biggest moves midday: Amazon, Merck, Exxon Mobil & more",Names on the move ahead of the open.,2019-02-01 17:48:00Z
74,Trump: 'There's a good chance we'll have to' declare a national emergency to build the wall,"The president wouldn&#039;t say he would definitely declare an emergency, but he told reporters that such a declaration &quot;does help the process.&quot;",2019-02-01 17:56:00Z
75,"Arthur Blank talks Super Bowl, economy and politics with CNBC",Atlanta Falcons owner Arthur Blank sits down with CNBC&#039;s Eric Chemi in advance of Super Bowl LIII.,2019-02-01 19:24:00Z
76,"GM's involuntary layoffs start Monday, at least 4,000 workers expected to lose jobs",The Detroit automaker could layoff thousands of white-color workers as early as Monday.,2019-02-01 19:39:00Z
77,"Trump's State of the Union will offer 'bipartisan way forward on immigration,' White House official says","In a preview of Tuesday&#039;s speech, a White House official said Trump would adopt a &quot;unifying, bipartisan, and optimistic tone.&quot; The official declined to say whether the president would declare a national emergency to build a border wall.",2019-02-01 21:42:00Z
78,"Draft Kings, casinos gear up for Super Bowl sports betting debut","&quot;Not surprisingly, it&#039;s the biggest day of the year for us,&quot; DraftKings CEO Jason Robins says.",2019-02-01 23:50:00Z
79,Former Obama economic advisor: Here's why Howard Schultz is wrong on debt,"Howard Schultz, the former Starbucks CEO, threw his hat into the ring of 2020 presidential contenders with a call to confront the nation&#039;s debt problems. But former Obama administration official Jason Furman told CNBC the billionaire&#039;s got it wrong.",2019-02-02 19:25:00Z
80,Charities who backed workers affected by shutdown are now stepping up to fight inequality,What the data and the realities in communities are showing us now is that we&#039;re on the verge of poverty becoming a permanent inescapable reality.,2019-02-03 13:52:00Z
