,Title,Summary,Published On
871,Coronavirus fears cause mortgage rates to plunge to 8-year low,"As coronavirus fears hit financial markets, U.S. bond yields are tanking, pushing mortgage rates that loosely follow the 10-year Treasury yield toward an eight-year low. They could sink even lower.",2020-02-25 18:38:25Z
872,US new home sales surge to 12.5-year high in January,"Housing market strength could help keep the economic expansion, now in its 11th year, on track.",2020-02-26 15:07:12Z
873,US weekly jobless claims rise more than expected,"The number of Americans filing for unemployment benefits increased more than expected last week, but the underlying trend remained consistent with solid labor market conditions.",2020-02-27 13:44:53Z
874,Goldman sees zero earnings growth for US companies this year because of coronavirus,"Goldman Sachs revised its earnings estimate for the year to $165 per share, representing 0% growth in 2020.",2020-02-27 14:08:23Z
875,"January pending home sales jump more than expected, up 5.2%",Pending home sales in January smashed analyst expectations of a 2% monthly gain.,2020-02-27 15:03:28Z
876,Goldman sees zero earnings growth for US companies this year because of coronavirus,"Goldman Sachs revised its earnings estimate for the year to $165 per share, representing 0% growth in 2020.",2020-02-27 15:31:13Z
877,"The global economy is heading for its worst year since the financial crisis, Bank of America says","GDP is projected to slow to 2.8% for 2020, which BofA Global Research said would be the first sub-3% reading since the Great Recession.",2020-02-27 19:02:17Z
878,Goldman sees zero earnings growth for US companies this year because of coronavirus,"Goldman Sachs revised its earnings estimate for the year to $165 per share, representing 0% growth in 2020.",2020-02-27 21:01:58Z
879,Ex-Fed Governor Warsh sees coordinated global central bank action soon in response to coronavirus,Warsh spoke the day after he called for the Fed to cut interest rates in response to the outbreak.,2020-02-28 12:15:21Z
880,Ex-Fed Gov Warsh sees coordinated global central bank action soon in response to COVID-19,Warsh spoke the day after he called for the Fed to cut interest rates in response to the outbreak.,2020-02-28 12:44:49Z
881,Ex-Fed Gov Warsh sees coordinated global central bank action soon in response to COVID-19,Warsh spoke a day after he called for the Fed to cut interest rates in response to the outbreak.,2020-02-28 13:03:57Z
882,US consumer spending growth slowed in January while incomes jumped,"Americans pulled back on their spending in January, even as their incomes surged, a sign the economy was growing modestly before the threat of coronavirus arose.",2020-02-28 13:44:44Z
883,Ex-Fed Gov Warsh sees coordinated global central bank action soon in response to coronavirus,Warsh spoke a day after he called for the Fed to cut interest rates in response to the outbreak.,2020-02-28 14:30:08Z
884,Fed's James Bullard says rate cuts possible only if coronavirus turns into pandemic,Markets are anticipating the Fed will cut rates four times this year amid a scare that the virus would cause a sharp slowdown in global growth.,2020-02-28 14:53:06Z
885,Elon Musk says Chinese economy will surpass the US by two or three times,"Because China's population is about four times larger than the United States, Elon Musk said it would lower the barrier for China to surpass in economic size.",2020-02-28 17:26:35Z
886,Elon Musk says Chinese economy will surpass US by 2 or 3 times: 'The foundation of war is economics',"""The foundation of war is economics,"" Tesla and SpaceX CEO Elon Musk said at the Air Warfare Symposium in Orlando, Fla.",2020-02-28 18:46:00Z
887,Wall Street expects at least a half-point Fed rate cut in March,Goldman Sachs said it sees three rate cuts from the Federal Reserve from March through June.,2020-02-28 19:35:32Z
888,Mortgage rates just hit an 8-year low. Here's why they're not even lower,"Mortgage rates just fell to an 8-year low, but they are not falling as fast as Treasury yields, because of the swiftness of the declines and the resulting risk to investors in mortgage-backed bonds.",2020-02-28 21:53:27Z
889,Trump calls for lower rates amid coronavirus fallout: 'Fed should start being a leader',,2020-02-29 20:55:39Z
890,Trump calls for lower rates amid coronavirus fallout: 'Fed should start being a leader',,2020-03-01 01:53:04Z
891,Goldman now sees the Federal Reserve getting even more aggressive in the face of coronavirus scare,"With fears over a global slowdown intensifying, the Fed likely will announce a 50 basis point cut at its March meeting, if not sooner, the firm said.",2020-03-02 00:02:48Z
892,Op-Ed: Central banks are doing enough for now to help manage the viral epidemic,"The Fed should now focus on a vigilant oversight of the banking system it supervises and regulates, Dr. Michael Ivanovitch writes.",2020-03-02 08:41:38Z
893,Goldman now sees the Federal Reserve getting even more aggressive in the face of coronavirus scare,"With fears over a global slowdown intensifying, the Fed likely will announce a 50 basis point cut at its March meeting, if not sooner, the firm said.",2020-03-02 12:23:16Z
894,"Unthinkable a few weeks ago, Wall Street sees a chance of rates falling as low as zero this year","As short-term rates keep going lower, there's a chance they could go all the way to near-zero where they were during the financial crisis.",2020-03-02 13:26:43Z
895,"Unthinkable a few weeks ago, Wall Street sees a chance of rates falling as low as zero this year","As short-term rates keep going lower, there's a chance they could go all the way to near-zero where they were during the financial crisis.",2020-03-02 14:36:58Z
896,US manufacturing activity slows in February as coronavirus spreads around the world,Manufacturing activity in the U.S. grew at a slower-than-expected pace last month as the coronavirus outbreak dampened sentiment.,2020-03-02 15:26:37Z
897,"Unthinkable a few weeks ago, Wall Street sees a chance of rates falling as low as zero this year","As short-term rates keep going lower, there's a chance they could go all the way to near zero where they were during the financial crisis.",2020-03-02 18:40:26Z
898,US manufacturing activity slows in February as coronavirus spreads around the world,Manufacturing activity in the U.S. grew at a slower-than-expected pace last month as the coronavirus outbreak dampened sentiment.,2020-03-02 18:51:29Z
899,Goldman now sees the Federal Reserve getting even more aggressive in the face of coronavirus scare,"With fears over a global slowdown intensifying, the Fed likely will announce a 50 basis point cut at its March meeting, if not sooner, the firm said.",2020-03-02 21:10:38Z
900,"Global economy will 'stop just short' of recession from coronavirus, Goldman economist says","Goldman's Jan Hatzius said on CNBC's ""Closing Bell"" that the world economy would likely shrink for ""a quarter or so"" but rebound before officially becoming a recession.",2020-03-02 22:30:13Z
901,Powell and Mnuchin will lead G-7 call on the coronavirus Tuesday,Global financial ministers and central bankers will hold a conference call on Tuesday to coordinate the financial and economic response to the coronavirus.,2020-03-03 10:53:38Z
902,"G-7 to make no direct calls for more spending, rate cuts in coronavirus statement, sources say","The G-7 will voice their determination to fight the economic hit of the coronavirus but stop short of directly calling for new government spending or coordinated central bank interest rate cuts, two G-7 officials said on Tuesday.",2020-03-03 11:18:38Z
903,G-7 countries promise to use policy tools but offer no specific actions to combat coronavirus,"""We reaffirm our commitment to use all appropriate policy tools to achieve strong, sustainable growth and safeguard against downside risks,"" the G-7 statement said.",2020-03-03 12:48:50Z
904,Trump asks Fed for 'big cut' after Australia slashes rates on coronavirus impact,The Australian central bank cut rates to record lows and noted the impact of the coronavirus outbreak.,2020-03-03 12:45:26Z
905,G-7 countries promise to use policy tools but offer no specific actions to combat coronavirus,"""We reaffirm our commitment to use all appropriate policy tools to achieve strong, sustainable growth and safeguard against downside risks,"" the G-7 statement said.",2020-03-03 13:16:49Z
906,G-7 countries promise to use policy tools but offer no specific actions to combat coronavirus,"""We reaffirm our commitment to use all appropriate policy tools to achieve strong, sustainable growth and safeguard against downside risks,"" the G-7 statement said.",2020-03-03 13:25:05Z
907,G-7 countries promise to use policy tools but offer no specific actions to combat coronavirus,"""We reaffirm our commitment to use all appropriate policy tools to achieve strong, sustainable growth and safeguard against downside risks,"" the G-7 statement said.",2020-03-03 14:17:43Z
908,G-7 countries promise to use policy tools but offer no specific actions to combat coronavirus,"""We reaffirm our commitment to use all appropriate policy tools to achieve strong, sustainable growth and safeguard against downside risks,"" the G-7 statement said.",2020-03-03 15:01:08Z
909,"Global economy will 'stop just short' of recession from coronavirus, Goldman economist says","Goldman's Jan Hatzius said on CNBC's ""Closing Bell"" that the world economy would likely shrink for ""a quarter or so"" but rebound before officially becoming a recession.",2020-03-03 18:42:23Z
910,Trump asks Fed for 'big cut' after Australia slashes rates on coronavirus impact,The Australian central bank cut rates to record lows and noted the impact of the coronavirus outbreak.,2020-03-03 20:05:25Z
911,"Even after a half-point rate cut, the market is expecting the Fed to do a lot more",No sooner had the central bank announced the reduction than market participants began speculating about what was next.,2020-03-03 22:56:04Z
912,"'Politics doesn't enter the room,' Fed's Mester says after Trump tweets","U.S. Federal Reserve policymakers are unmoved by political pressure, according to Cleveland Fed President and CEO Loretta Mester.",2020-03-04 11:20:31Z
913,"Private payrolls up 183,000 as hiring shows no signs of coronavirus scare","Employment rose by 183,000 for the month, according to a report Wednesday from Moody's Analytics that topped the 155,000 that economists surveyed by Dow Jones expected.",2020-03-04 13:20:13Z
914,"Private payrolls up 183,000 as hiring shows no signs of coronavirus scare","Employment rose by 183,000 for the month, according to a report Wednesday from Moody's Analytics that topped the 155,000 that economists surveyed by Dow Jones expected.",2020-03-04 13:20:36Z
915,"'Politics doesn't enter the room,' Fed's Mester says after Trump tweets","U.S. Federal Reserve policymakers are unmoved by political pressure, according to Cleveland Fed President and CEO Loretta Mester.",2020-03-04 13:57:46Z
916,US service sector races to one-year high in February,"The report came a day after the Fed slashed its benchmark overnight interest rate by a half percentage point to a target range of 1.00% to 1.25%, in the U.S. central bank's first emergency rate cut since 2008 at the height of the financial crisis.",2020-03-04 15:06:56Z
917,Fed 'Beige Book' shows business worried about coronavirus and the election,"In the central bank's periodic report from its member districts, officials reported activity growing at a ""modest to moderate pace.""",2020-03-04 19:22:32Z
918,US weekly jobless claims underscore labor market strength despite coronavirus,"The number of Americans filing for unemployment benefits fell last week, suggesting the labor market was on solid footing despite the coronavirus outbreak, which has stoked financial market fears of a recession and prompted an emergency interest rate cut from the Federal Reserve.",2020-03-05 13:45:45Z
919,'Bond King' Gundlach says Fed panicked and short-term rates are 'headed toward zero',,2020-03-05 17:49:52Z
920,'Bond King' Gundlach says Fed panicked and short-term rates are 'headed toward zero',"""Bond King"" and DoubleLine Capital CEO Jeffrey Gundlach said that he believes the Federal Reserve panicked in cutting interest rates.",2020-03-05 18:20:39Z
921,'Bond King' Gundlach says Fed panicked and short-term rates are 'headed toward zero',"""When I say panicked, it doesn't mean it's not justified,"" DoubleLine Capital CEO Jeffrey Gundlach said about the Fed's surprise cut this week.",2020-03-05 18:48:36Z
922,'Bond King' Gundlach says Fed panicked and short-term rates are 'headed toward zero',"""When I say panicked, it doesn't mean it's not justified,"" DoubleLine Capital CEO Jeffrey Gundlach said about the Fed's surprise cut this week.",2020-03-05 19:20:28Z
923,'Bond King' Gundlach says Fed panicked and short-term rates are 'headed toward zero',"""When I say panicked, it doesn't mean it's not justified,"" DoubleLine Capital CEO Jeffrey Gundlach said about the Fed's surprise cut this week.",2020-03-05 20:21:44Z
924,Fed 'Beige Book' shows business worried about coronavirus and the election,"In the central bank's periodic report from its member districts, officials reported activity growing at a ""modest to moderate pace.""",2020-03-06 03:45:18Z
925,"Rate cuts can't save the global economy from the coronavirus, say analysts",The U.S. Federal Reserve lowered its benchmark rate by 50 basis points this week � and investors are expecting more.,2020-03-06 05:51:37Z
926,Job growth smashes expectations for February as unemployment falls back to 3.5%,"The Labor Department reported Friday that the U.S. economy added 273,000 new jobs during the month, while the unemployment rate was 3.5%.",2020-03-06 14:19:19Z
927,Job growth smashes expectations for February as unemployment falls back to 3.5%,"The Labor Department reported Friday that the U.S. economy added 273,000 new jobs during the month, while the unemployment rate was 3.5%.",2020-03-06 15:20:10Z
928,Job growth smashes expectations for February as unemployment falls back to 3.5%,"The Labor Department reported Friday that the U.S. economy added 273,000 new jobs during the month, while the unemployment rate was 3.5%.",2020-03-06 15:24:11Z
929,Larry Kudlow: 'I don't want to panic on policy measures' related to coronavirus slowdown,"Larry Kudlow told CNBC on Friday that he doesn't want to ""panic on policy measures"" designed to combat the new coronavirus.",2020-03-06 15:54:57Z
930,"Here's a list of recession indicators and where they stand, according to Bank of America",Bank of America created a list of possible recession triggers to monitor the state of the markets and the economy.,2020-03-06 17:04:10Z
931,"'America should stay at work,' despite coronavirus, Larry Kudlow says","Larry Kudlow, director of the National Economic Council, discussed the coronavirus outbreak Friday on CNBC's ""Squawk on the Street.""",2020-03-06 17:13:30Z
932,Job growth smashes expectations for February as unemployment falls back to 3.5%,"The Labor Department reported Friday that the U.S. economy added 273,000 new jobs during the month, while the unemployment rate was 3.5%.",2020-03-06 19:23:17Z
933,"Here's a list of recession indicators and where they stand, according to Bank of America",Bank of America created a list of possible recession triggers to monitor the state of the markets and the economy.,2020-03-06 20:01:17Z
934,"Here's a list of recession indicators and where they stand, according to Bank of America",Bank of America created a list of possible recession triggers to monitor the state of the markets and the economy.,2020-03-06 21:04:37Z
935,How bad could it get? Economists predict how the coronavirus could hurt the global economy,"A range of banks and financial institutions have offered their worst-case scenarios for 2020, as the spread of the new coronavirus impacts the global economy and roils financial markets.",2020-03-10 10:39:02Z
936,How bad could it get? Economists predict how the coronavirus could hurt the global economy,"A range of banks and financial institutions have offered their worst-case scenarios for 2020, as the spread of the new coronavirus impacts the global economy and roils financial markets.",2020-03-10 12:15:38Z
937,"The economy is 'like a coiled spring' and a sharp rebound is possible, analysts predict","Investors should avoid getting too bearish after Monday's global market rout, according to Patrick Armstrong, chief investment officer of Plurimi Investment Managers.",2020-03-10 12:40:01Z
938,"Fed faces headache, taps epidemiologists in hunt for policy clues",The escalating coronavirus outbreak is giving the U.S. Federal Reserve a policy headache like never before: how to judge the potential impact on the economy in the absence of reliable data on how fast the flu-like illness is spreading across the U.S.,2020-03-11 10:20:17Z
939,US consumer prices grew 0.1% in February as food costs rose,"U.S. consumer prices increased slightly last month, driven higher by more expensive food.",2020-03-11 12:43:10Z
940,Economist Alan Blinder says the US is probably already in recession,"Blinder said the cause of the current downturn is ""fear of shopping"" and being in public places where the COVID-19 strain can be spread.",2020-03-11 17:00:50Z
941,US producer prices post biggest drop in five years,The report came on the heels of data on Wednesday showing a surprise rise in consumer prices in February and steady increase in underlying inflation.,2020-03-12 12:48:34Z
942,"Weekly claims for jobless benefits drop, suggesting coronavirus hasn't yet hit labor market","The number of Americans filing new claims for unemployment insurance fell last week for a second straight week, an indication that the coronavirus had not yet hit the labor market in a major way.",2020-03-12 12:55:46Z
943,"Cramer slams government on coronavirus: 'They know nothing,' evoking his epic 2007 Fed rant","""They know nothing. We know more than they do, and that's not acceptable either,"" CNBC's Jim Cramer said.",2020-03-12 14:53:31Z
944,"Cramer slams government on coronavirus: 'They know nothing,' evoking his epic 2007 Fed rant","""They know nothing. We know more than they do, and that's not acceptable either,"" CNBC's Jim Cramer said.",2020-03-12 16:21:43Z
945,"Cramer slams government on coronavirus: 'They know nothing,' evoking his epic 2007 Fed rant","""They know nothing. We know more than they do, and that's not acceptable either,"" CNBC's Jim Cramer said.",2020-03-12 16:42:02Z
946,Small businesses say coronavirus is starting to cause supply-chain squeezes and lost sales,"As the coronavirus spreads around the country, small business owners are beginning to feel early impacts such as supply-chain problems and lost sales.",2020-03-13 11:40:20Z
947,Treasury Secretary Mnuchin says White House and Congress close to getting coronavirus bill done,"Mnuchin spoke Friday to CNBC's ""Squawk on the Street"" program.",2020-03-13 13:25:55Z
948,Treasury Secretary Mnuchin says White House and Congress close to getting coronavirus bill done,"Mnuchin spoke Friday to CNBC's ""Squawk on the Street"" program.",2020-03-13 13:48:19Z
949,Trump pressures Congress to 'approve a payroll tax cut' for the rest of the year,A payroll tax cut has not been included in the coronavirus aid package that is reportedly being finalized in negotiations between the White House and House Democrats.,2020-03-13 14:15:49Z
950,Trump plans to declare national emergency over coronavirus pandemic,"President Trump plans to declare a national emergency over the coronavirus pandemic, according to administration officials who spoke to NBC News. The president has scheduled a 3 p.m. ET press conference.",2020-03-13 16:55:51Z
951,S&P estimates a severe coronavirus outbreak in US could cost $90 billion in insured medical expenses,S&P estimates roughly 50 million insured Americans will eventually get the new coronavirus.,2020-03-13 14:44:38Z
952,"Mortgage rates jump back up to January high, as coronavirus fears put chill on spring housing market","After falling to a record low just two weeks ago, mortgage rates are surging higher again. This comes as real estate agents try to deal with a new normal in what was supposed to be a busy spring housing market.",2020-03-13 16:26:36Z
953,Trump plans to declare national emergency over coronavirus pandemic,"President Trump plans to declare a national emergency over the coronavirus pandemic, according to administration officials who spoke to NBC News. The president has scheduled a 3 p.m. ET press conference.",2020-03-13 17:07:37Z
954,Treasury Secretary Mnuchin considers suspending student loan payments amid coronavirus,Treasury Secretary Steven Mnuchin said Friday that the Trump administration would consider suspending people's student loan payments as part of a larger strategy to mitigate the economic consequences of the coronavirus.,2020-03-13 17:04:01Z
955,Trump plans to declare national emergency over coronavirus pandemic,"President Trump plans to declare a national emergency over the coronavirus pandemic, according to administration officials who spoke to NBC News. The president has scheduled a 3 p.m. ET press conference.",2020-03-13 17:42:12Z
956,"Mortgage rates jump back up to January high, as coronavirus fears put chill on spring housing market","After falling to a record low just two weeks ago, mortgage rates are surging higher again. This comes as real estate agents try to deal with a new normal in what was supposed to be a busy spring housing market.",2020-03-13 18:18:46Z
957,Treasury Secretary Mnuchin considers suspending student loan payments amid coronavirus,Treasury Secretary Steven Mnuchin said Friday that the Trump administration would consider suspending people's student loan payments as part of a larger strategy to mitigate the economic consequences of the coronavirus.,2020-03-13 18:50:52Z
958,Trump plans to declare national emergency over coronavirus pandemic,"President Trump plans to declare a national emergency over the coronavirus pandemic, according to administration officials who spoke to NBC News. The president has scheduled a 3 p.m. ET press conference.",2020-03-13 19:11:52Z
959,Trump declares national emergency over coronavirus,President Donald Trump's declaration of a national emergency will free up as much as $50 billion in financial resources to help combat the coronavirus outbreak.,2020-03-13 19:56:37Z
960,Trump gives people with student loans a break amid coronavirus,Trump said people with federal student debt won't have to pay interest amid the coronavirus. That means borrowers could put their payments on pause without any penalty.,2020-03-13 20:24:21Z
961,Trump declares national emergency over coronavirus,"""The next eight weeks are critical,"" Trump said as he declared a national emergency over the coronavirus outbreak, freeing up as much as $50 billion for states' use.",2020-03-13 20:50:16Z
962,Trump gives people with student loans a break amid coronavirus,Trump said people with federal student debt won't have to pay interest amid the coronavirus. That means borrowers could put their payments on pause without any penalty.,2020-03-13 20:48:02Z
963,Trump declares national emergency over coronavirus,"""The next eight weeks are critical,"" Trump said as he declared a national emergency over the coronavirus outbreak, freeing up as much as $50 billion for states' use.",2020-03-13 20:59:47Z
964,Trump gives people with student loans a break amid coronavirus,Trump said people with federal student debt won't have to pay interest amid the coronavirus. That means borrowers could put their payments on pause without any penalty.,2020-03-13 21:32:44Z
965,Trump declares national emergency over coronavirus,"""The next eight weeks are critical,"" Trump said as he declared a national emergency over the coronavirus outbreak, freeing up as much as $50 billion for states' use.",2020-03-13 22:42:08Z
966,Trump declares national emergency over coronavirus,"""The next eight weeks are critical,"" Trump said as he declared a national emergency over the coronavirus outbreak, freeing up as much as $50 billion for states' use.",2020-03-14 00:04:58Z
967,Trump declares national emergency over coronavirus,"""The next eight weeks are critical,"" Trump said as he declared a national emergency over the coronavirus outbreak, freeing up as much as $50 billion for states' use.",2020-03-14 00:51:11Z
968,"The Fed to start buying Treasurys Friday across all durations, starting with 30-year bond","The move comes in response to market demand that the Fed act immediately to quell what has been an extraordinarily volatile time in the bond market, with yields sinking to historic lows amid rising liquidity concerns.",2020-03-14 00:36:12Z
969,Coronavirus crash is a true 'Black Swan' as Goldman thought the economy was nearly recession-proof,All the risk assessment and economic modeling in the world is futile if it can't anticipate the one variable that matters most - particularly if it's a pandemic.,2020-03-14 14:54:39Z
970,Treasury Secretary Mnuchin does not expect recession from the coronavirus,Treasury Secretary Steven Mnuchin is confident the U.S. economy will weather the downturn from the coronavirus outbreak.,2020-03-15 14:51:50Z
971,Powell says Fed is 'willing to be patient' before raising rates again amid coronavirus slowdown,"The Federal Reserve slashed interest rates to near zero on Sunday as the coroanvirus outbreak continues to weigh on global markets, and chairman Jerome Powell said that the central bank is willing to be patient before raising rates again.",2020-03-15 23:20:10Z
972,Powell says Fed is 'willing to be patient' before raising rates again amid coronavirus slowdown,"""We will maintain the rate at this level until we're confident that the economy has weathered recent events,"" Powell said.",2020-03-15 23:57:08Z
973,Powell says the Fed doesn't see negative rates as 'appropriate' policy for the United States,"The central bank chair said he is focusing on interest rates and other ""liquidity tools"" to keep credit flowing and financial markets operating properly.",2020-03-16 00:05:41Z
974,"US should give citizens $1,000 a month to limit coronavirus impact on economy, strategist says","The U.S. should follow Hong Kong's lead and give a cash handout to its citizens amid the coronavirus pandemic, a strategist told CNBC Friday.",2020-03-16 13:54:41Z
975,Federal Reserve cuts rates to zero and launches massive $700 billion quantitative easing program,"""The coronavirus outbreak has harmed communities and disrupted economic activity in many countries,"" the Fed said.",2020-03-16 15:01:25Z
976,"'I don't see how we're going to avoid having a recession,' says former Fed advisor as coronavirus outbreak persists","Even if every American is given $1,000 to ride out the coronavirus crisis, it's still going to be difficult for the U.S. economy to stay afloat, said Andrew Levin, a former special advisor to the Federal Reserve Board.",2020-03-17 08:00:01Z
977,Morgan Stanley says a global recession in 2020 is now the firm's 'base case',Morgan Stanley warned investors on Tuesday that the coronavirus pandemic is fundamentally disrupting the world's economy.,2020-03-17 12:27:42Z
978,Retail sales drop 0.5% in February,"Retail sales fell 0.5% in February, indicating the consumer sector was slowing even before the coronavirus struck with force in the U.S.",2020-03-17 13:07:02Z
979,Morgan Stanley says a global recession in 2020 is now the firm's 'base case',Morgan Stanley warned investors on Tuesday that the coronavirus pandemic is fundamentally disrupting the world's economy.,2020-03-17 13:19:05Z
980,Retail sales drop 0.5% in February,"Retail sales fell 0.5% in February, indicating the consumer sector was slowing even before the coronavirus struck with force in the U.S.",2020-03-17 13:46:05Z
981,Retail sales drop 0.5% in February,"Retail sales fell 0.5% in February, indicating the consumer sector was slowing even before the coronavirus struck with force in the U.S.",2020-03-17 14:35:19Z
982,Fed will help businesses get funding in the short-term borrowing markets amid coronavirus crisis,"In a move much anticipated on Wall Street, the bank announced a special credit facility to purchase corporate paper.",2020-03-17 15:18:17Z
983,Fed will help businesses get up to $1 trillion in funding in the short-term borrowing markets amid coronavirus crisis,"In a move much anticipated on Wall Street, the bank announced a special credit facility to purchase corporate paper.",2020-03-17 15:56:43Z
984,The Federal Reserve is adding another program to keep money flowing for big financial institutions,"In the central bank's latest effort to keep credit markets flowing, the Fed announced a Primary Dealer Credit Facility, which will provide up to 90 days.",2020-03-18 00:22:33Z
985,"Mnuchin warns senators of 20% US unemployment without coronavirus rescue, source says","U.S. Treasury Secretary Steven Mnuchin warned Republican senators that the country's unemployment rate could hit 20% if they failed to act on a proposed coronavirus rescue package and there was lasting economic damage, a person familiar with the closed-door meeting said.",2020-03-18 11:02:09Z
986,"Mnuchin warns senators of 20% US unemployment without coronavirus rescue, source says","U.S. Treasury Secretary Steven Mnuchin warned Republican senators that the country's unemployment rate could hit 20% if they failed to act on a proposed coronavirus rescue package and there was lasting economic damage, a person familiar with the closed-door meeting said.",2020-03-18 12:24:48Z
987,"Bernie Sanders calls for monthly $2,000 payment to every US household during coronavirus crisis","Sanders also called for robust unemployment insurance, a moratorium on evictions and a waiver on all student loan payments.",2020-03-18 12:56:07Z
988,US housing starts fall less than expected in February,"U.S. homebuilding fell in February, pulled down by a sharp decline in the construction of multifamily housing units, and could continue to weaken as the coronavirus pandemic disrupts economic activity.",2020-03-18 13:28:43Z
989,"Even with $1 trillion stimulus, hit to economy and employment from virus will be big",The double-barreled approach of a $1 trillion proposed fiscal stimulus program and Federal Reserve policy could help soften the blow of a recession.,2020-03-18 15:03:12Z
990,"Paid leave, unemployment assistance: What the federal government is doing in response to the coronavirus pandemic",Some of the biggest policy proposals so far include an announcement from Treasury Secretary Steve Mnuchin that the government is looking at mailing Americans cash assistance and legislation passed by the House of Representatives that provides paid sick leave to some American workers this year.,2020-03-18 20:30:40Z
991,"Paid leave, unemployment assistance: What the federal government is doing in response to the coronavirus pandemic",Some of the biggest policy proposals so far include an announcement from Treasury Secretary Steve Mnuchin that the government is looking at mailing Americans cash assistance and legislation passed by the House of Representatives that provides paid sick leave to some American workers this year.,2020-03-18 20:39:53Z
992,"General Motors, Ford and Fiat Chrysler to temporarily close all US factories due to the coronavirus",Detroit's Big Three automakers plan to temporarily close all U.S. factories as the coronavirus sweeps across the country.,2020-03-18 20:56:52Z
993,"Interest rates are rising, a bad sign as the economy slides toward recession","The Fed is throwing all its fire power at markets, but interest rates continue to rise, a troubling sign when the economy looks set to slow.",2020-03-19 00:14:24Z
994,"From Boeing to Tennessee whiskey, coronavirus bailout requests top $1 trillion","As the coronavirus outbreak threatens to bring U.S. economic activity to a grinding halt, American businesses are jockeying for a financial lifeline from the administration of President Donald Trump.",2020-03-19 11:28:03Z
995,"Bank of America says the recession is already here: 'Jobs will be lost, wealth will be destroyed'",Bank of America issued a dire warning to investors on Thursday: The recession is here.,2020-03-19 12:27:13Z
996,Investor Ray Dalio estimates the corporate losses in the US from coronavirus will top $4 trillion,The founder of Bridgewater Associates also estimated the global corporate losses will amount to $12 trillion due to the pandemic.,2020-03-19 12:57:49Z
997,US producer prices post biggest drop in five years,"U.S. producer prices fell by the most in five years in February, pulled down by declines in the costs of goods such as gasoline and services.",2020-03-19 13:16:19Z
998,"Unprecedented spike in weekly jobless claims is just the start, as unemployment is set to double","Thursday's spike in weekly jobless claims, considered the canary in the coal mine for labor, signals the start of a crush of layoffs.",2020-03-19 13:38:54Z
999,"Weekly jobless claims jump to 281,000 ahead of surge in coronavirus layoffs","Jobless claims rose to 281,000 last week, reflecting only the first indications of the impact the coronavirus will have on the U.S. employment picture",2020-03-19 13:49:01Z
1000,"Bank of America says the recession is already here: 'Jobs will be lost, wealth will be destroyed'",Bank of America issued a dire warning to investors on Thursday: The recession is here.,2020-03-19 14:09:57Z
1001,Economist: Next week's jobless claims could hit 2 million as coronavirus halt slams labor market,"""It looks to me like the order of magnitude in most states seems to be about 10 times higher than the normal weekly numbers before the crisis,"" said Pantheon Macroeconomics' Ian Shepherdson.",2020-03-19 15:31:08Z
1002,Economist: Next week's jobless claims could hit 2 million as coronavirus halt slams labor market,"""It looks to me like the order of magnitude in most states seems to be about 10 times higher than the normal weekly numbers before the crisis,"" said Pantheon Macroeconomics' Ian Shepherdson.",2020-03-19 15:33:03Z
1003,"Bank of America says the recession is already here: 'Jobs will be lost, wealth will be destroyed'",Bank of America issued a dire warning to investors on Thursday: The recession is here.,2020-03-19 15:33:04Z
1004,"Bank of America says the recession is already here: 'Jobs will be lost, wealth will be destroyed'",Bank of America issued a dire warning to investors on Thursday: The recession is here.,2020-03-19 16:39:22Z
1005,"Unprecedented spike in weekly jobless claims is just the start, as unemployment is set to double","Thursday's spike in weekly jobless claims, considered the canary in the coal mine for labor, signals the start of a crush of layoffs amid the coronavirus pandemic.",2020-03-19 17:50:21Z
1006,"Bank of America says the recession is already here: 'Jobs will be lost, wealth will be destroyed'",Bank of America issued a dire warning to investors on Thursday: The recession is here.,2020-03-19 20:10:12Z
1007,"Interest rates are rising, a bad sign as the economy slides toward recession","The Fed is throwing all its fire power at markets, but interest rates continue to rise, a troubling sign when the economy looks set to slow.",2020-03-19 20:21:37Z
1008,Economist: Next week's jobless claims could hit 2 million as coronavirus halt slams labor market,"""It looks to me like the order of magnitude in most states seems to be about 10 times higher than the normal weekly numbers before the crisis,"" said Pantheon Macroeconomics' Ian Shepherdson.",2020-03-19 21:53:17Z
1009,Sheryl Sandberg says Facebook wants to help small businesses pay workers and move online amid COVID-19 crisis,Sandberg said on Tuesday that Facebook will do what it can to help its employees and small businesses manage through the coronavirus outbreak.,2020-03-20 21:41:17Z
1010,Coronavirus stimulus bill fails in key Senate procedural vote,"Republicans last week rolled out a roughly $1 trillion proposal, which is a bid to slow the potentially catastrophic impact of the coronavirus on the economy.",2020-03-23 00:21:50Z
1011,"Financing programs for businesses hit by the coronavirus could amount to $4 trillion, Mnuchin says","Part of a bipartisan stimulus effort will include joint efforts between the Treasury and Federal Reserve to get liquidity to businesses that need it, Mnuchin told Fox News Sunday.",2020-03-22 16:09:55Z
1012,The government budget deficit is about to explode to fight the coronavirus,Remember when people were all worked up over trillion-dollar government budget deficits? Those might seem like the good old days.,2020-03-22 22:23:41Z
1013,Fed's Bullard: Coronavirus shutdown is not a recession but an investment in survival,"Shutdown measures must be coupled with massive federal government support to sustain the population through isolation and prime the economy to pick up where it left off, Bullard says.",2020-03-22 11:42:20Z
